id,platce,platce_ico,dodavatel,dodavatel_ico,hodnota_czk,datum,rok,predmet,je_skola
36160997,"Základní škola, Bruntál, Rýmařovská 15, příspěvková organizace",60802669,INFOHOME s.r.o.,24282499,1540731.83,2025-07-03,2025,"Smlouva o dílo na stavební práce v rámci ""Modernizace dílen pro ergoterapii""",True
36160853,"Základní škola Pardubice, Staňkova 128",48161306,Tomáš Pospíšil,66815681,90400.0,2025-11-25,2025,Objednávka výroby atypického nábytku do šatny asistentek,True
36160181,"Základní škola a mateřská škola Pustějov, příspěvková organizace",70997888,"PROFIŠKOLY - nábytek, s.r.o.",14167638,92828.78,2025-12-05,2025,Nákup nábytku do školní jídelny,True
36158113,Univerzita Tomáše Bati ve Zlíně,70883521,IS Produkce s.r.o.,28315707,58000.0,2025-12-15,2025,Koprodukční smlouva - výroba studentského audiovizuálního díla Závrať,False
36154441,"Základní škola a Mateřská škola Litvínov, Ruská 2059, okres Most",47326531,Alex kovový a školící nábytek s.r.o.,None,135036.0,2025-12-09,2025,"objednávka židlí , stůl",True
36151825,"Základní škola Přelouč, Smetanova 1509, okres Pardubice",00191051,INMAX Partners spol. s r.o.,24296465,126833.5,2025-12-19,2025,kancelářský nábytek,True
36148745,"Základní škola a Mateřská škola Frenštát pod Radhoštěm, Záhuní 408, okres Nový Jičín",60336251,Petr Tuma,12696978,135062.0,2025-12-17,2025,výroba nábytku,True
36148277,"Základní škola a Mateřská škola Frenštát pod Radhoštěm, Záhuní 408, okres Nový Jičín",60336251,MULTIP Moravia s.r.o.,16627971,329921.0,2025-12-17,2025,nákup nábytku,True
36141661,"Střední odborné učiliště Slaný, příspěvková organizace",00069485,Jaroslav Hartman,44714904,139883.0,2025-12-15,2025,Nábytek a vybavení do jídelního prostoru ,True
36128293,"Základní umělecká škola B. M. Černohorského, Nymburk, Palackého třída 574",67673015,Ing. Otakar Otta,16569253,540000.0,2025-12-15,2025,Smlouva o nájmu prostoru sloužícího podnikání,True
